Point ID,arc_length,div(phi),magR,momentError_0,momentError_1,momentError_2,momentError_Magnitude,nu,nut,nuTilda,p,Points_0,Points_1,Points_2,Points_Magnitude,turbulenceProperties:devReff_0,turbulenceProperties:devReff_1,turbulenceProperties:devReff_2,turbulenceProperties:devReff_3,turbulenceProperties:devReff_4,turbulenceProperties:devReff_5,turbulenceProperties:devReff_Magnitude,turbulenceProperties:epsilon,turbulenceProperties:I,turbulenceProperties:k,turbulenceProperties:L,turbulenceProperties:nuEff,turbulenceProperties:nut,turbulenceProperties:R_0,turbulenceProperties:R_1,turbulenceProperties:R_2,turbulenceProperties:R_3,turbulenceProperties:R_4,turbulenceProperties:R_5,turbulenceProperties:R_Magnitude,U_0,U_1,U_2,U_Magnitude,vtkValidPointMask
43,0.00602,-8.44366e-09,0,-3.02925e-06,2.63033e-07,-1.40615e-05,1.43865e-05,0.00551969,0,0,9.16457,0,-0.06398,1,1.00204,-1.01295e-08,-7.03949e-08,8.05244e-08,2.22822e-07,-0.28922,4.87766e-08,0.28922,0,0,0,0,0.00551969,0,0,0,0,0,0,0,0,-2.10321e-07,1.94683e-08,0.33228,0.33228,1
44,0.00616,-8.4998e-09,0,-3.11449e-06,2.82073e-07,-1.4449e-05,1.47835e-05,0.005522,0,0,9.16457,0,-0.06384,1,1.00204,-1.03507e-08,-7.20287e-08,8.23794e-08,2.23645e-07,-0.288553,5.12103e-08,0.288553,0,0,0,0,0.005522,0,0,0,0,0,0,0,0,-2.15736e-07,2.05705e-08,0.339363,0.339363,1
45,0.0063,-8.55594e-09,0,-3.19973e-06,3.01114e-07,-1.48364e-05,1.51806e-05,0.00552431,0,0,9.16457,0,-0.0637,1,1.00203,-1.05719e-08,-7.36627e-08,8.42346e-08,2.24469e-07,-0.287885,5.36443e-08,0.287885,0,0,0,0,0.00552431,0,0,0,0,0,0,0,0,-2.21152e-07,2.16727e-08,0.346446,0.346446,1
46,0.00644,-8.61208e-09,0,-3.28498e-06,3.20153e-07,-1.52239e-05,1.55776e-05,0.00552662,0,0,9.16457,0,-0.06356,1,1.00202,-1.0793e-08,-7.52966e-08,8.60896e-08,2.25292e-07,-0.287218,5.60781e-08,0.287218,0,0,0,0,0.00552662,0,0,0,0,0,0,0,0,-2.26567e-07,2.27749e-08,0.353528,0.353528,1
47,0.00658,-8.66823e-09,0,-3.37022e-06,3.39194e-07,-1.56114e-05,1.59746e-05,0.00552893,0,0,9.16457,0,-0.06342,1,1.00201,-1.10142e-08,-7.69306e-08,8.79447e-08,2.26115e-07,-0.28655,5.8512e-08,0.28655,0,0,0,0,0.00552893,0,0,0,0,0,0,0,0,-2.31983e-07,2.38771e-08,0.360611,0.360611,1
48,0.00672,-8.72436e-09,0,-3.45546e-06,3.58234e-07,-1.59988e-05,1.63717e-05,0.00553125,0,0,9.16457,0,-0.06328,1,1.002,-1.12353e-08,-7.85645e-08,8.97998e-08,2.26939e-07,-0.285883,6.09458e-08,0.285883,0,0,0,0,0.00553125,0,0,0,0,0,0,0,0,-2.37398e-07,2.49793e-08,0.367694,0.367694,1
49,0.00686,-8.78051e-09,0,-3.54071e-06,3.77274e-07,-1.63863e-05,1.67687e-05,0.00553356,0,0,9.16457,0,-0.06314,1,1.00199,-1.14565e-08,-8.01985e-08,9.16549e-08,2.27762e-07,-0.285215,6.33797e-08,0.285215,0,0,0,0,0.00553356,0,0,0,0,0,0,0,0,-2.42814e-07,2.60815e-08,0.374777,0.374777,1
50,0.007,-8.83665e-09,0,-3.62595e-06,3.96314e-07,-1.67738e-05,1.71658e-05,0.00553587,0,0,9.16457,0,-0.063,1,1.00198,-1.16776e-08,-8.18324e-08,9.35099e-08,2.28585e-07,-0.284548,6.58135e-08,0.284548,0,0,0,0,0.00553587,0,0,0,0,0,0,0,0,-2.48229e-07,2.71837e-08,0.381859,0.381859,1
51,0.00714,-8.89279e-09,0,-3.7112e-06,4.15354e-07,-1.71612e-05,1.75628e-05,0.00553818,0,0,9.16457,0,-0.06286,1,1.00197,-1.18988e-08,-8.34664e-08,9.53651e-08,2.29409e-07,-0.28388,6.82474e-08,0.28388,0,0,0,0,0.00553818,0,0,0,0,0,0,0,0,-2.53645e-07,2.82859e-08,0.388942,0.388942,1
52,0.00728,-8.94893e-09,0,-3.79644e-06,4.34394e-07,-1.75487e-05,1.79599e-05,0.00554049,0,0,9.16457,0,-0.06272,1,1.00196,-1.21199e-08,-8.51003e-08,9.72201e-08,2.30232e-07,-0.283213,7.06812e-08,0.283213,0,0,0,0,0.00554049,0,0,0,0,0,0,0,0,-2.5906e-07,2.93881e-08,0.396025,0.396025,1
